,years_for_full,full_population_mean,target_agents_mean,total_affected_mean,m694v_homozigotes_mean,compound_mean,n_allele_mean,carrier_births_mean,affected_births_mean,normal_births_mean,full_population_ci_low,target_agents_ci_low,total_affected_ci_low,m694v_homozigotes_ci_low,compound_ci_low,n_allele_ci_low,carrier_births_ci_low,affected_births_ci_low,normal_births_ci_low,full_population_ci_high,target_agents_ci_high,total_affected_ci_high,m694v_homozigotes_ci_high,compound_ci_high,n_allele_ci_high,carrier_births_ci_high,affected_births_ci_high,normal_births_ci_high
40,1990,78794.84,60882.4,307.28,37.32,187.12,75.56,9151.04,476.8,43923.88,78547.75318530061,60659.68445455844,301.70573794659776,35.09467339325962,182.50210245818872,72.29187019433643,9077.144579177328,467.2622283524924,43732.90828669746,79041.92681469939,61105.115545441564,312.8542620534022,39.54532660674038,191.7378975418113,78.82812980566358,9224.935420822674,486.3377716475076,44114.85171330254
41,1991,79359.52,61196.44,309.24,37.72,188.16,75.96,9385.36,489.64,45042.52,79109.56607071841,60966.9687758336,303.7470089362291,35.518392684120684,183.53467684444283,72.78649427919217,9310.740190659406,479.8767339126021,44848.60116450954,79609.4739292816,61425.911224166404,314.7329910637709,39.921607315879314,192.78532315555717,79.13350572080782,9459.979809340595,499.40326608739787,45236.43883549045
42,1992,79849.84,61446.64,311.12,37.84,188.96,76.84,9606.52,500.32,46109.28,79594.57550936406,61214.37956223951,304.76653571873317,35.53841135444812,183.99189936763221,73.2353757995227,9529.121577893087,490.6048300834897,45910.406937054206,80105.10449063593,61678.90043776049,317.47346428126684,40.141588645551884,193.9281006323678,80.4446242004773,9683.918422106914,510.0351699165103,46308.15306294579
43,1993,80191.0,61567.32,312.72,37.6,190.36,77.28,9807.68,512.4,47077.84,79933.94454912088,61333.09568858641,306.1066141722514,35.202168757675665,185.14124465413448,73.44500567927409,9728.105470818191,502.68003347056515,46879.369096692666,80448.05545087912,61801.54431141359,319.33338582774866,39.99783124232434,195.57875534586555,81.11499432072591,9887.25452918181,522.1199665294348,47276.31090330733
44,1994,80435.56,61591.64,314.96,37.76,192.24,77.36,9994.6,522.16,47965.72,80175.07656337156,61348.75724919344,308.37673374683965,35.1987666720894,187.04411430456753,73.34179285086827,9914.539977783332,512.2497624165715,47763.35532260107,80696.04343662843,61834.52275080656,321.5432662531603,40.3212333279106,197.4358856954325,81.37820714913173,10074.660022216669,532.0702375834285,48168.08467739893
45,1995,80685.08,61426.36,315.28,37.8,192.72,77.32,10174.08,531.8,48862.12,80418.7498726075,61177.393939631605,308.6608078962258,35.093590816844824,187.68400766746677,73.38741088170485,10092.641121817811,521.5166910643185,48656.343013553414,80951.4101273925,61675.326060368396,321.89919210377417,40.50640918315517,197.75599233253322,81.25258911829513,10255.518878182189,542.0833089356814,49067.89698644659
46,1996,80911.8,61269.12,315.92,37.76,193.44,77.28,10357.2,540.56,49753.32,80639.51106058454,61014.634690903964,309.283033656858,35.031725057843325,188.44926881509332,73.46341477583255,10275.661251648884,530.4240139226614,49541.48235975987,81184.08893941547,61523.60530909604,322.55696634314205,40.48827494215667,198.43073118490668,81.09658522416746,10438.738748351117,550.6959860773385,49965.157640240126
47,1997,81058.96,61028.88,316.84,38.12,193.44,77.8,10528.16,549.72,50586.72,80784.05659057306,60774.123819316635,310.3298882016768,35.234248040227065,188.79065304657382,73.86044875652061,10443.047263853796,539.5283015429223,50376.78849015904,81333.86340942695,61283.63618068336,323.35011179832316,41.00575195977293,198.08934695342617,81.73955124347938,10613.272736146204,559.9116984570777,50796.651509840965
48,1998,81148.8,60754.88,317.68,38.32,194.24,77.72,10689.08,557.8,51378.28,80876.97588703477,60505.9159856866,310.98272464554924,35.35890766101427,189.41601034826982,73.83194751750099,10603.418961453257,547.535386872041,51170.016510410234,81420.62411296523,61003.84401431339,324.3772753544508,41.28109233898573,199.0639896517302,81.608052482499,10774.741038546743,568.0646131279589,51586.54348958976
49,1999,81081.44,60316.16,317.92,38.36,193.8,78.4,10823.4,565.04,52045.36,80810.55539975279,60068.764577334936,310.7972402651781,35.34712019932203,188.704,74.52104825156762,10737.461952857499,554.7963166832758,51836.0773687617,81352.32460024722,60563.55542266507,325.0427597348219,41.37287980067797,198.89600000000002,82.27895174843239,10909.3380471425,575.2836833167241,52254.642631238305
